,job_title,rating,industry,city,state,min_revenue,max_revenue,min_salary_estimate,max_salary_estimate,avg_salary_estimate,avg_revenue
101,Data Analyst - IBM Tool Set,4.6,Staffing & Outsourcing,New York, NY,10,25,51000,87000,69000,17.5
102,Analyst-Data Integrity,3.0,Health Care Services & Hospitals,New York, NY,1000,2000,51000,87000,69000,1500.0
103,"Reference Data Operations Analyst - Index Instrument, Associate",3.9,Investment Banking & Asset Management,New York, NY,10000,10000,51000,87000,69000,10000.0
104,Data Analyst,3.0,Social Assistance,Long Island City, NY,25,50,51000,87000,69000,37.5
106,Data/Systems Analyst,5.0,Consulting,New York, NY,5,10,51000,87000,69000,7.5
107,Data Analyst,4.0,IT Services,New York, NY,50,100,51000,87000,69000,75.0
111,"Data Analytics Analyst or Associate, Cowen Sustainable Investments",3.7,Investment Banking & Asset Management,New York, NY,100,500,51000,87000,69000,300.0
112,Data Reporting Analyst,3.5,Staffing & Outsourcing,New York, NY,2000,5000,51000,87000,69000,3500.0
113,Data Analyst,2.8,Computer Hardware & Software,New York, NY,25,50,51000,87000,69000,37.5
115,Data Analyst,3.8,Enterprise Software & Network Solutions,Jersey City, NJ,10000,10000,51000,87000,69000,10000.0
116,ERP Data Analyst,3.4,Social Assistance,New York, NY,100,500,51000,87000,69000,300.0
117,Data Analyst,3.6,Biotech & Pharmaceuticals,Florham Park, NJ,5,10,51000,87000,69000,7.5
119,PBM Data Analyst,3.2,Insurance Carriers,New York, NY,100,500,51000,87000,69000,300.0
121,Data Analyst,3.5,Insurance Agencies & Brokerages,New York, NY,10000,10000,59000,85000,72000,10000.0
122,Market Data Analyst,3.5,Staffing & Outsourcing,New York, NY,1,5,59000,85000,72000,3.0
124,Junior Data Analyst,5.0,IT Services,New York, NY,50,100,59000,85000,72000,75.0
125,Microsoft Dynamics CRM Data Analyst,3.7,IT Services,New York, NY,10000,10000,59000,85000,72000,10000.0
126,Practice Analyst Data,4.0,Health Care Services & Hospitals,Manhasset, NY,10000,10000,59000,85000,72000,10000.0
127,Buyside - Data Scientist/Research Analyst,3.3,Staffing & Outsourcing,New York, NY,25,50,59000,85000,72000,37.5
129,Electronic Trading Data Analyst,3.6,Investment Banking & Asset Management,New York, NY,10000,10000,59000,85000,72000,10000.0
130,"Data Analyst, Center for Developing Brain",3.2,Health Care Services & Hospitals,New York, NY,25,50,59000,85000,72000,37.5
131,Data Processing & Performance Analyst,3.1,Computer Hardware & Software,New York, NY,1,5,59000,85000,72000,3.0
133,Data Analyst with Rochade,4.0,IT Services,New York, NY,50,100,59000,85000,72000,75.0
134,Advertising Data Analyst,4.3,TV Broadcast & Cable Networks,New York, NY,5,10,59000,85000,72000,7.5
135,Product Analyst - Data,2.7,Gambling,Jersey City, NJ,2000,5000,59000,85000,72000,3500.0
136,Senior Data Analyst,4.1,Video Games,New York, NY,10,25,59000,85000,72000,17.5
138,Market Research Data Analyst - Physician Technology,3.1,IT Services,New York, NY,100,500,59000,85000,72000,300.0
141,Data Collection Analyst,3.9,Colleges & Universities,New York, NY,2000,5000,59000,85000,72000,3500.0
142,Data Analyst,4.2,IT Services,New York, NY,10,25,59000,85000,72000,17.5
144,Student Persistence Initiative Data Analyst/Scientist,4.2,Colleges & Universities,New York, NY,100,500,59000,85000,72000,300.0
146,Data Governance Analyst,5.0,Consulting,New York, NY,5,10,59000,85000,72000,7.5
147,Sr. Business Intelligence Engineer / Data Analyst,3.9,Internet,New York, NY,10000,10000,59000,85000,72000,10000.0
150,Data Analyst,4.0,Health Care Services & Hospitals,New York, NY,5000,10000,43000,76000,59500,7500.0
152,Data Analyst I - Geriatrics and Palliative Care,3.4,Health Care Services & Hospitals,New York, NY,1000,2000,43000,76000,59500,1500.0
154,Data Analyst/Rochade,3.3,IT Services,New York, NY,10,25,43000,76000,59500,17.5
156,Data Analyst,3.8,Social Assistance,New York, NY,10,25,43000,76000,59500,17.5
158,"Data Analyst II, Division of Gastroenterology (Research)",3.4,Health Care Services & Hospitals,New York, NY,1000,2000,43000,76000,59500,1500.0
159,"Data Analyst, Student Success Program",3.2,Health Care Services & Hospitals,New York, NY,25,50,43000,76000,59500,37.5
160,Big Data QA Analyst with Jupyter notebook,3.2,"Health, Beauty, & Fitness",Newark, NJ,10,25,43000,76000,59500,17.5
164,Data Analyst with Data Scanning and Profiling,3.3,IT Services,New York, NY,10,25,43000,76000,59500,17.5
165,Business Analyst - Data Governance,4.1,Video Games,New York, NY,10,25,43000,76000,59500,17.5
168,Research Analyst (Data Science),3.4,Consulting,New York, NY,100,500,43000,76000,59500,300.0
169,Data Management Analyst,2.5,Social Assistance,Brooklyn, NY,25,50,43000,76000,59500,37.5
170,Business Analyst / Data Analyst,4.4,IT Services,Weehawken, NJ,1,5,43000,76000,59500,3.0
171,Healthcare Data/Reporting Analyst,3.9,IT Services,New York, NY,100,500,43000,76000,59500,300.0
173,Sr. Data Profiling Analyst,3.6,Investment Banking & Asset Management,New York, NY,10000,10000,43000,76000,59500,10000.0
175,Data Analyst,3.6,Consulting,Haworth, NJ,50,100,43000,76000,59500,75.0
176,Data Analyst,3.3,Banks & Credit Unions,Fort Lee, NJ,50,100,43000,76000,59500,75.0
177,"Sr. Data Analyst, Revenue Analytics, Peacock",3.8,TV Broadcast & Cable Networks,New York, NY,10000,10000,43000,76000,59500,10000.0
180,Senior Data Analyst - Data Cataloging / Data Profiling,3.6,IT Services,New York, NY,500,1000,43000,76000,59500,750.0
181,Data/Report Analyst,4.0,Accounting,New York, NY,1,1,60000,110000,85000,1.0
184,GIS Data analyst,3.7,IT Services,New York, NY,25,50,60000,110000,85000,37.5
185,Junior Data Analytics Solutions Analyst,3.1,Consulting,New York, NY,10,25,60000,110000,85000,17.5
187,Data Analyst w/Capital Markets,3.7,Staffing & Outsourcing,Jersey City, NJ,50,100,60000,110000,85000,75.0
188,"VP, Research Project Analyst/Data Management",3.7,Investment Banking & Asset Management,New York, NY,10000,10000,60000,110000,85000,10000.0
189,Food Data Analyst,3.2,Social Assistance,New York, NY,25,50,60000,110000,85000,37.5
190,Data Management Analyst,3.6,Staffing & Outsourcing,New York, NY,50,100,60000,110000,85000,75.0
191,Data Governance Analyst,3.6,Investment Banking & Asset Management,Weehawken, NJ,10000,10000,60000,110000,85000,10000.0
192,"Data Analyst, Enterprise Analytics",3.7,Video Games,New York, NY,1000,2000,60000,110000,85000,1500.0
193,Data Analytics Solutions Analyst - Mid with Security Clearance,3.1,Consulting,New York, NY,10,25,60000,110000,85000,17.5
195,Investment Management Summer Analyst Program - Office of COO: Data & Analytics,3.8,Investment Banking & Asset Management,New York, NY,10000,10000,60000,110000,85000,10000.0
197,Data Collection Analyst,3.8,Health Care Services & Hospitals,New York, NY,500,1000,60000,110000,85000,750.0
198,Sr Business /Data Analyst- Reference data,3.7,IT Services,Jersey City, NJ,100,500,60000,110000,85000,300.0
200,SENIOR DATA ANALYST,3.7,Health Care Services & Hospitals,New York, NY,2000,5000,60000,110000,85000,3500.0
201,Senior Data Analyst / Scientist,3.3,Consulting,New York, NY,1,1,60000,110000,85000,1.0
202,Senior Data Analyst - Regulatory Reporting,3.4,General Repair & Maintenance,New York, NY,1,5,60000,110000,85000,3.0
206,Senior Data Analyst (6-12 Month Contract-Remote),5.0,Advertising & Marketing,New York, NY,1,5,60000,110000,85000,3.0
208,Data Analyst- Win 10 Migration- NYC,3.0,IT Services,New York, NY,1,5,60000,110000,85000,3.0
209,Data Analyst (35 hours/week),3.5,Social Assistance,New York, NY,10,25,60000,110000,85000,17.5
210,Tech Business/Data Analyst,1.0,IT Services,New York, NY,1,1,60000,110000,85000,1.0
211,Data Analyst,5.0,IT Services,New York, NY,50,100,41000,78000,59500,75.0
214,Data Analyst,4.1,Computer Hardware & Software,New York, NY,25,50,41000,78000,59500,37.5
215,Data Analyst,3.3,Social Assistance,Bronx, NY,100,500,41000,78000,59500,300.0
217,Data Remediation Analyst-EK020719A/JL,3.5,Staffing & Outsourcing,New York, NY,1,5,41000,78000,59500,3.0
218,Business Analyst - Chief Data Office,3.7,Investment Banking & Asset Management,New York, NY,10000,10000,41000,78000,59500,10000.0
219,"Senior Analyst, Data Instrumentation & Quality (Disney+)",4.0,Motion Picture Production & Distribution,New York, NY,10000,10000,41000,78000,59500,10000.0
220,Sr. Data Analyst,3.4,IT Services,New York, NY,10000,10000,41000,78000,59500,10000.0
221,Big Data Programmer Analyst,3.6,Staffing & Outsourcing,Jersey City, NJ,50,100,41000,78000,59500,75.0
223,Data Analyst,3.5,Consulting,Little Ferry, NJ,10,25,41000,78000,59500,17.5
224,Data Governance Analyst,3.4,Staffing & Outsourcing,New York, NY,25,50,41000,78000,59500,37.5
226,Financial Data Analyst - Accounting - D3529,4.2,Computer Hardware & Software,New York, NY,5,10,41000,78000,59500,7.5
228,"Data Processing & Performance Analyst New York, NY",2.7,Security Services,New York, NY,2000,5000,41000,78000,59500,3500.0
229,Data Analyst,3.1,IT Services,Newark, NJ,10,25,41000,78000,59500,17.5
232,Business Analyst-Market Data,4.1,Staffing & Outsourcing,Jersey City, NJ,100,500,41000,78000,59500,300.0
233,Content Analyst/Data BA-Bus/Tech Strategy - Investment Bank,3.0,Computer Hardware & Software,Jersey City, NJ,25,50,41000,78000,59500,37.5
235,"Senior Analyst, AB Testing and Data Operations",3.5,Enterprise Software & Network Solutions,New York, NY,100,500,41000,78000,59500,300.0
237,Data Analyst I - Geriatrics and Palliative Care,3.1,Health Care Services & Hospitals,New York, NY,500,1000,41000,78000,59500,750.0
238,Data Analyst,5.0,Advertising & Marketing,Lake Success, NY,1,1,41000,78000,59500,1.0
239,Senior Business and Data Analyst,3.9,Investment Banking & Asset Management,New York, NY,10000,10000,41000,78000,59500,10000.0
240,Data Analyst II,3.8,Enterprise Software & Network Solutions,Jersey City, NJ,10000,10000,45000,88000,66500,10000.0
241,Data Analyst II,3.0,Health Care Services & Hospitals,Lake Success, NY,50,100,45000,88000,66500,75.0
243,Lead Generation Data Analyst,3.3,Investment Banking & Asset Management,New York, NY,2000,5000,45000,88000,66500,3500.0
245,Data Analyst I - Genetics & Genomic Sciences,3.1,Health Care Services & Hospitals,New York, NY,500,1000,45000,88000,66500,750.0
246,Data Reporting Analyst III,3.6,Insurance Carriers,Newark, NJ,10000,10000,45000,88000,66500,10000.0
248,Data Analyst - CBCH,3.9,Colleges & Universities,New York, NY,2000,5000,45000,88000,66500,3500.0
249,"Principal Data Analyst, LATAM Disney Streaming Services",4.0,Motion Picture Production & Distribution,New York, NY,10000,10000,45000,88000,66500,10000.0
250,Data Engineer/Data Analyst,3.9,IT Services,New York, NY,100,500,45000,88000,66500,300.0
251,Technical Business/Data Analyst,3.8,Enterprise Software & Network Solutions,New York, NY,10000,10000,73000,127000,100000,10000.0
254,Senior Data Analyst - Rochade,3.6,IT Services,New York, NY,500,1000,73000,127000,100000,750.0
256,2021 Summer Analyst Program- Data & Analytics Solutions,3.2,Investment Banking & Asset Management,New York, NY,10000,10000,73000,127000,100000,10000.0
257,Data Analyst - QC,2.9,Staffing & Outsourcing,New York, NY,500,1000,73000,127000,100000,750.0
260,Data Analyst - III,4.2,Advertising & Marketing,New York, NY,1,5,73000,127000,100000,3.0
261,SQL Data Analyst,3.4,Consulting,Summit, NJ,10,25,73000,127000,100000,17.5
262,Healthcare Data/Reporting Analyst,3.1,Staffing & Outsourcing,New York, NY,25,50,73000,127000,100000,37.5
264,"JPSC-8461 - Position: 13,52,53 Data Analyst",4.5,IT Services,New York, NY,50,100,73000,127000,100000,75.0
265,Data Analyst - Analytics/SQL,4.0,Accounting,New York, NY,1,1,84000,90000,87000,1.0
266,Data Analyst-Excel,2.6,Computer Hardware & Software,New York, NY,1,1,84000,90000,87000,1.0
268,Data Analyst with Python or Python developer,3.9,IT Services,New York, NY,100,500,84000,90000,87000,300.0
269,Data Entry Clerk / Data analyst,4.1,Staffing & Outsourcing,Haworth, NJ,5,10,84000,90000,87000,7.5
270,"Senior Analyst, Data and Insights (Wirecutter)",3.8,News Outlet,New York, NY,1000,2000,84000,90000,87000,1500.0
273,Data Governance Analyst,3.8,Staffing & Outsourcing,New York, NY,100,500,84000,90000,87000,300.0
274,Data Analyst with Python,3.9,IT Services,New York, NY,100,500,84000,90000,87000,300.0
277,Analyst Business Data,4.0,Health Care Services & Hospitals,Manhasset, NY,10000,10000,84000,90000,87000,10000.0
280,Consumer Lending Data Analyst,3.8,Consulting,New York, NY,1000,2000,84000,90000,87000,1500.0
282,Business Analyst/PM/Data Analyst - Investment Bank,3.0,Computer Hardware & Software,Jersey City, NJ,25,50,84000,90000,87000,37.5
285,TX Healthcare Data/Reporting Analyst,3.5,Health Care Services & Hospitals,New York, NY,50,100,27000,52000,39500,75.0
286,Senior Data Analyst - Regulatory Reporting,4.0,IT Services,New York, NY,500,1000,27000,52000,39500,750.0
287,Senior Specialist Data Analyst,3.2,Investment Banking & Asset Management,New York, NY,10000,10000,27000,52000,39500,10000.0
288,SQL Report Developer Data Analyst,3.3,Banks & Credit Unions,New York, NY,5000,10000,27000,52000,39500,7500.0
290,"Data Analyst,, Sales Operations - Oracle Data Cloud",3.6,Enterprise Software & Network Solutions,New York, NY,10000,10000,27000,52000,39500,10000.0
292,"Senior Analyst, Data Analytics",3.6,Advertising & Marketing,New York, NY,100,500,27000,52000,39500,300.0
293,Senior Data Analyst (Product),4.3,Health Care Services & Hospitals,New York, NY,50,100,27000,52000,39500,75.0
294,Senior Data Analyst - Data Cataloging / Data Profiling,4.0,IT Services,New York, NY,50,100,27000,52000,39500,75.0
295,2021 Summer Analyst Program- Data & Analytics Solutions,3.7,Investment Banking & Asset Management,New York, NY,100,500,27000,52000,39500,300.0
296,Technical Data Analyst,4.1,Staffing & Outsourcing,Summit, NJ,1000,2000,27000,52000,39500,1500.0
297,"Senior Analyst, Customer Master Data",3.3,Biotech & Pharmaceuticals,Berkeley Heights, NJ,2000,5000,27000,52000,39500,3500.0
298,Data Analyst/Project Manager,3.4,Investment Banking & Asset Management,Jersey City, NJ,10000,10000,27000,52000,39500,10000.0
299,Data Analyst II - Division of Endocrinology,3.1,Health Care Services & Hospitals,New York, NY,500,1000,27000,52000,39500,750.0
300,Sr. Reference Data Business Analyst - SQL,3.7,Investment Banking & Asset Management,Jersey City, NJ,10000,10000,27000,52000,39500,10000.0
302,Data Management Analyst (ADDM04) SEC SVCS OPS DATA GOVERNANCE - NA,3.9,Investment Banking & Asset Management,Brooklyn, NY,10000,10000,27000,52000,39500,10000.0
303,BA With Data Analyst Skills,4.1,Staffing & Outsourcing,Jersey City, NJ,100,500,27000,52000,39500,300.0
304,"Data & Reporting Analyst, GNHCC",3.3,Social Assistance,Essex Fells, NJ,50,100,27000,52000,39500,75.0
305,Principal Business Analyst - Data Governance,4.1,Video Games,New York, NY,10,25,27000,52000,39500,17.5
306,Business Analyst/Data Analyst - Capital Markets,3.0,Computer Hardware & Software,Jersey City, NJ,25,50,27000,52000,39500,37.5
307,".net, sharepoint, Java, Data analyst, Business Analyst",3.4,IT Services,New York, NY,5,10,27000,52000,39500,7.5
309,Consumer Lending Data Analyst,3.2,Publishing,New York, NY,2000,5000,27000,52000,39500,3500.0
310,Data Analyst - CBCH,3.8,Health Care Services & Hospitals,New York, NY,500,1000,27000,52000,39500,750.0
312,Data Science Lead Analyst,4.6,IT Services,Franklin Lakes, NJ,25,50,27000,52000,39500,37.5
314,"Remote: Data Analyst (Data Lineage, Financial industry)_Long term",4.0,IT Services,New York, NY,50,100,42000,74000,58000,75.0
317,"Data Management, Firmwide Data Quality, Analyst",3.9,Investment Banking & Asset Management,Newark, NJ,10000,10000,42000,74000,58000,10000.0
318,Compensation and Data Analyst (Human Resources),4.1,Health Care Services & Hospitals,New York, NY,10,25,42000,74000,58000,17.5
319,Senior Data Analyst,3.1,Social Assistance,New York, NY,100,500,42000,74000,58000,300.0
320,"Data Analyst II, Division of Gastroenterology (Research)",3.1,Health Care Services & Hospitals,New York, NY,500,1000,42000,74000,58000,750.0
321,NY Healthcare Data/Reporting Analyst,3.9,IT Services,New York, NY,100,500,42000,74000,58000,300.0
323,Big Data QA Analyst / QA Tester / Test Analyst,3.7,Enterprise Software & Network Solutions,Jersey City, NJ,10,25,42000,74000,58000,17.5
324,Senior Data Analyst,3.2,Insurance Carriers,New York, NY,100,500,42000,74000,58000,300.0
326,"Data Analyst, Capital Markets (Manager)",3.5,IT Services,New York, NY,2000,5000,42000,74000,58000,3500.0
329,CIB F&BM Global Program Management EMEA - International Regulatory - Data Provisioning Business Analyst - Associate,3.9,Investment Banking & Asset Management,New York, NY,10000,10000,42000,74000,58000,10000.0
331,Senior IT Technical Data Analyst,2.4,Insurance Carriers,New York, NY,5000,10000,42000,74000,58000,7500.0
332,Data Analyst/Data Acquisition Speciliest with Financial Industry Exp,4.0,IT Services,New York, NY,50,100,42000,74000,58000,75.0
333,Data Analyst/Data Scanning with Financial Industry exp,4.0,IT Services,New York, NY,50,100,42000,74000,58000,75.0
335,Senior Data Analyst - Data Governance,4.0,IT Services,New York, NY,50,100,42000,74000,58000,75.0
336,"Senior Manager, Data Analyst",3.2,Health Fundraising Organizations,New York, NY,25,50,42000,74000,58000,37.5
338,Risk Adjustment Data Analyst,3.6,Insurance Carriers,Newark, NJ,10000,10000,42000,74000,58000,10000.0
339,Data Analyst III,3.0,Health Care Services & Hospitals,Lake Success, NY,50,100,42000,74000,58000,75.0
340,"Sr. Data Analyst, Retail Media",3.9,Internet,New York, NY,2000,5000,77000,132000,104500,3500.0
341,Sr IT Technical Data Analyst,2.4,Insurance Carriers,New York, NY,5000,10000,77000,132000,104500,7500.0
345,Senior SQL Data Warehouse Analyst,2.8,Investment Banking & Asset Management,New York, NY,5000,10000,77000,132000,104500,7500.0
346,Data Analyst Junior,5.0,IT Services,New York, NY,50,100,77000,132000,104500,75.0
347,SR. Power BI with DAX - Data Analyst,3.7,Computer Hardware & Software,New York, NY,1,5,77000,132000,104500,3.0
348,Informatica IDQ - Data Quality Analyst (Contract),4.0,Staffing & Outsourcing,New York, NY,1,5,77000,132000,104500,3.0
349,"Senior Solutions Analyst, Data Specialist",4.2,Enterprise Software & Network Solutions,New York, NY,50,100,77000,132000,104500,75.0
351,HR Data Analyst,3.5,Staffing & Outsourcing,Jersey City, NJ,2000,5000,77000,132000,104500,3500.0
352,Healthcare Senior Data Analyst - HEDIS,2.0,Health Care Services & Hospitals,New York, NY,100,500,77000,132000,104500,300.0
353,Senior Data Quality Analyst,3.3,Health Care Services & Hospitals,Secaucus, NJ,5000,10000,77000,132000,104500,7500.0
358,"Senior Data Analyst, Gas Planning and Design Engineering",3.6,Utilities,Brooklyn, NY,5000,10000,77000,132000,104500,7500.0
360,Senior Data Business Analyst,2.8,Advertising & Marketing,New York, NY,2000,5000,77000,132000,104500,3500.0
361,Business Analyst/Data Analyst - Capital Markets Data,3.0,Computer Hardware & Software,Jersey City, NJ,25,50,77000,132000,104500,37.5
362,"Firmwide Reference Data Operations, Pricing Operations, Analyst",3.9,Investment Banking & Asset Management,Newark, NJ,10000,10000,77000,132000,104500,10000.0
363,Senior Healthcare Data Analyst,4.5,Consulting,New York, NY,5,10,77000,132000,104500,7.5
365,Senior Data Analyst - FHC - Family Support Center,4.0,Health Care Services & Hospitals,New York, NY,5000,10000,77000,132000,104500,7500.0
366,QA Data Analyst,5.0,Advertising & Marketing,Lake Success, NY,1,1,77000,132000,104500,1.0
368,"Data Analyst/Project Manager in Jersey City, New Jersey | Careers at Harborside",3.4,Investment Banking & Asset Management,Jersey City, NJ,10000,10000,77000,132000,104500,10000.0
370,Data Analyst with Data Lineage/Rochade,4.0,IT Services,Florham Park, NJ,50,100,98000,114000,106000,75.0
371,Senior Market Data Content Acquisition/Procurement Analyst,2.8,Investment Banking & Asset Management,New York, NY,5000,10000,98000,114000,106000,7500.0
372,Sr. Specialist Reporting Data Analyst /Engineer - Cloud,3.2,Investment Banking & Asset Management,Florham Park, NJ,10000,10000,98000,114000,106000,10000.0
373,"Senior Business Analyst, Data Management",3.4,Insurance Carriers,Woodbridge, NJ,10,25,98000,114000,106000,17.5
374,Data Science Analyst II - Mount Sinai Health Partners,3.4,Health Care Services & Hospitals,New York, NY,1000,2000,98000,114000,106000,1500.0
375,NY Healthcare Data/Reporting Analyst,3.5,Health Care Services & Hospitals,New York, NY,50,100,98000,114000,106000,75.0
377,Technical Business Analyst with Retail Banking and Large Data Program,3.7,Staffing & Outsourcing,New York, NY,50,100,98000,114000,106000,75.0
378,Principal Sales Operations Analyst - Oracle Data Cloud,3.6,Enterprise Software & Network Solutions,New York, NY,10000,10000,98000,114000,106000,10000.0
379,QA Production Data Analyst,2.7,Health Care Services & Hospitals,New York, NY,2000,5000,98000,114000,106000,3500.0
380,JPSC-7462 - Data Analyst Lead - Sr. Tableau Lead,4.5,IT Services,Whippany, NJ,50,100,98000,114000,106000,75.0
381,Data Services Lead Analyst,2.5,IT Services,New York, NY,1,1,98000,114000,106000,1.0
386,NY Healthcare Data/Reporting Analyst,4.4,Computer Hardware & Software,New York, NY,1,5,98000,114000,106000,3.0
387,"Specialist, Data and Reporting Analyst - IT Change Management",3.2,Investment Banking & Asset Management,Florham Park, NJ,10000,10000,98000,114000,106000,10000.0
389,Data Analyst III- SAS req'd,3.0,Health Care Services & Hospitals,Lake Success, NY,50,100,98000,114000,106000,75.0
393,Sr. Data Analyst - RWE,4.2,Staffing & Outsourcing,Hoboken, NJ,100,500,98000,114000,106000,300.0
394,Data Migration Lead/ Analyst (migration of data to the new target system),3.4,Advertising & Marketing,New York, NY,1,5,98000,114000,106000,3.0
395,Senior Data Analytics Solutions Analyst,3.1,Consulting,New York, NY,10,25,98000,114000,106000,17.5
